SITE: https://www.pinkbike.com | RISK LEVEL: HIGH | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,Eval,XOrigin(10) | SCRIPTS: 0 same-origin, 10 cross-origin
SITE: https://www.fullcompass.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Sandbox | RISKS: InlineJS,InlineCSS,Eval,XOrigin(5) | SCRIPTS: 2 same-origin, 5 cross-origin
SITE: https://weatherworld.com | RISK LEVEL: MINIMAL | PROTECTIONS: Framework | RISKS: InlineJS,InlineCSS,XOrigin(4) | SCRIPTS: 9 same-origin, 4 cross-origin
SITE: https://typepad.com | RISK LEVEL: MEDIUM | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(5) | SCRIPTS: 5 same-origin, 5 cross-origin
SITE: https://digital.wingscu.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework,Sandbox | RISKS: InlineJS,InlineCSS,XOrigin(4) | SCRIPTS: 6 same-origin, 4 cross-origin
SITE: https://li.me | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO,Sandbox | RISKS: InlineJS,InlineCSS,XOrigin(7) | SCRIPTS: 0 same-origin, 7 cross-origin
SITE: https://ae.indeed.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(29) | SCRIPTS: 0 same-origin, 29 cross-origin
SITE: https://cusocal.org | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(31),SensitiveForms | SCRIPTS: 0 same-origin, 31 cross-origin
SITE: https://stikeman.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP | RISKS: InlineJS,InlineCSS,XOrigin(6) | SCRIPTS: 16 same-origin, 6 cross-origin
SITE: https://api-galactus.apps.interlock.network | RISK LEVEL: MEDIUM | PROTECTIONS: none | RISKS: InlineJS,InlineCSS,XOrigin(11),SensitiveForms | SCRIPTS: 0 same-origin, 11 cross-origin
SITE: https://appdirectmixprod.report-uri.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO | RISKS: InlineJS,InlineCSS,XOrigin(4) | SCRIPTS: 0 same-origin, 4 cross-origin
SITE: https://smithsonianmag.com | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(13),SensitiveForms | SCRIPTS: 2 same-origin, 13 cross-origin
SITE: https://www.zipair.net | RISK LEVEL: MINIMAL | PROTECTIONS: Framework | RISKS: InlineJS,InlineCSS,XOrigin(12) | SCRIPTS: 21 same-origin, 12 cross-origin
SITE: https://seed.com | RISK LEVEL: MINIMAL | PROTECTIONS: CSP,XCTO,Framework | RISKS: InlineJS,InlineCSS,XOrigin(4),SensitiveForms | SCRIPTS: 11 same-origin, 4 cross-origin
SITE: https://currentprotocols.onlinelibrary.wiley.com | RISK LEVEL: MINIMAL | PROTECTIONS: XCTO | RISKS: InlineJS,InlineCSS,XOrigin(21),SensitiveForms | SCRIPTS: 14 same-origin, 21 cross-origin
